S,MRT,±,min,max,MRT Class 1,±,min,max,MRT Class 2,±,min,max,Thr Cloudlet Class 1,±,min,max,Thr Cloudlet Class 2,±,min,max,Thr Cloud Class 1,±,min,max,Thr Cloud Class 2,±,min,max,MRT Cloudlet Class 1,±,min,max,MRT Cloudlet Class 2,±,min,max,MRT Cloud Class 1,±,min,max,MRT Cloud Class 2,±,min,max,MP Cloudlet Class 1,±,min,max,MP Cloudlet Class 2,±,min,max,MP Cloud Class 1,±,min,max,MP Cloud Class 2,±,min,max,% Interrupted,±,min,max,MRT Interrupted,±,min,max
0,3.427297,0.001730,3.425567,3.429027,2.260637,0.001021,2.259615,2.261658,4.547474,0.003176,4.544297,4.550650,5.865917,0.009301,5.856616,5.875218,0.000000,0.000000,0.000000,0.000000,0.129860,0.000823,0.129038,0.130683,6.244707,0.009980,6.234727,6.254687,2.222044,0.000903,2.221141,2.222947,0.000000,0.000000,0.000000,0.000000,4.006046,0.011627,3.994419,4.017674,4.547474,0.003176,4.544297,4.550650,13.033831,0.020856,13.012975,13.054687,0.000000,0.000000,0.000000,0.000000,0.520262,0.003546,0.516716,0.523807,28.391250,0.043342,28.347908,28.434591,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,3.427196,0.001577,3.425619,3.428773,2.260609,0.001018,2.259592,2.261627,4.547259,0.002835,4.544424,4.550094,5.865920,0.009296,5.856624,5.875216,0.000000,0.000000,-0.000000,0.000001,0.129860,0.000823,0.129037,0.130683,6.244740,0.009904,6.234836,6.254644,2.222016,0.000894,2.221122,2.222910,0.000113,0.000222,-0.000109,0.000335,4.006055,0.011627,3.994428,4.017682,4.547259,0.002835,4.544424,4.550094,13.033800,0.020915,13.012885,13.054714,0.000001,0.000001,0.000000,0.000002,0.520262,0.003545,0.516716,0.523807,28.391166,0.043499,28.347667,28.434664,0.000001,0.000000,0.000000,0.000001,0.136240,0.101428,0.034813,0.237668
2,3.426928,0.001249,3.425678,3.428177,2.260714,0.001047,2.259666,2.261761,4.546782,0.002203,4.544579,4.548985,5.866823,0.007591,5.859232,5.874413,0.000005,0.000002,0.000003,0.000007,0.129884,0.000813,0.129071,0.130697,6.245467,0.008533,6.236934,6.253999,2.222123,0.000946,2.221177,2.223068,0.009479,0.006850,0.002629,0.016330,4.006074,0.011628,3.994445,4.017702,4.546783,0.002203,4.544580,4.548987,13.036089,0.016681,13.019408,13.052771,0.000016,0.000003,0.000013,0.000019,0.520320,0.003519,0.516801,0.523840,28.394244,0.038014,28.356230,28.432258,0.000012,0.000002,0.000010,0.000013,1.239870,0.191604,1.048266,1.431474
3,3.426704,0.001095,3.425610,3.427799,2.260696,0.001039,2.259657,2.261735,4.546307,0.001845,4.544462,4.548151,5.867320,0.006656,5.860663,5.873976,0.000027,0.000005,0.000022,0.000033,0.129896,0.000809,0.129088,0.130705,6.246000,0.007487,6.238513,6.253487,2.222104,0.000933,2.221171,2.223037,0.091917,0.022700,0.069216,0.114617,4.006099,0.011627,3.994472,4.017726,4.546309,0.001844,4.544465,4.548154,13.037230,0.014636,13.022593,13.051866,0.000109,0.000009,0.000101,0.000118,0.520352,0.003506,0.516846,0.523858,28.395941,0.035485,28.360456,28.431426,0.000082,0.000005,0.000077,0.000086,4.625103,0.251356,4.373747,4.876459
4,3.426915,0.001128,3.425787,3.428043,2.260676,0.001032,2.259644,2.261708,4.546746,0.001922,4.544824,4.548667,5.867385,0.006543,5.860842,5.873928,0.000149,0.000013,0.000136,0.000163,0.129899,0.000809,0.129091,0.130708,6.245942,0.007374,6.238569,6.253316,2.222084,0.000923,2.221162,2.223007,0.921549,0.085530,0.836019,1.007080,4.006063,0.011629,3.994434,4.017692,4.546762,0.001922,4.544840,4.548684,13.037323,0.014471,13.022852,13.051793,0.000576,0.000024,0.000552,0.000600,0.520356,0.003505,0.516850,0.523861,28.397788,0.033981,28.363806,28.431769,0.000393,0.000011,0.000382,0.000404,5.587760,0.120060,5.467700,5.707820
5,3.427387,0.001176,3.426210,3.428563,2.260645,0.001023,2.259621,2.261668,4.547709,0.002064,4.545645,4.549773,5.866693,0.007841,5.858851,5.874534,0.000624,0.000028,0.000596,0.000653,0.129881,0.000814,0.129066,0.130695,6.244775,0.008667,6.236108,6.253443,2.222052,0.000907,2.221145,2.222959,3.891489,0.179561,3.711928,4.071050,4.006075,0.011629,3.994446,4.017704,4.547796,0.002064,4.545732,4.549860,13.035628,0.017529,13.018099,13.053158,0.002297,0.000056,0.002241,0.002353,0.520312,0.003523,0.516789,0.523835,28.397885,0.039080,28.358805,28.436966,0.001422,0.000024,0.001398,0.001446,5.579500,0.053589,5.525911,5.633089
6,3.428517,0.001267,3.427249,3.429784,2.260610,0.001017,2.259593,2.261628,4.549850,0.002202,4.547648,4.552052,5.866539,0.008114,5.858426,5.874653,0.002031,0.000054,0.001978,0.002085,0.129876,0.000816,0.129061,0.130692,6.243386,0.008630,6.234756,6.252017,2.222016,0.000894,2.221122,2.222911,4.325548,0.152956,4.172593,4.478504,4.006074,0.011627,3.994446,4.017701,4.550128,0.002201,4.547927,4.552329,13.035217,0.018281,13.016935,13.053498,0.007504,0.000121,0.007383,0.007625,0.520303,0.003527,0.516776,0.523830,28.405497,0.038283,28.367213,28.443780,0.004161,0.000047,0.004115,0.004208,5.603405,0.030256,5.573149,5.633661
7,3.430552,0.001098,3.429454,3.431650,2.260608,0.001018,2.259590,2.261626,4.553849,0.001862,4.551986,4.555711,5.867143,0.006987,5.860156,5.874131,0.005630,0.000094,0.005536,0.005725,0.129893,0.000810,0.129083,0.130703,6.240429,0.007418,6.233012,6.247847,2.222014,0.000894,2.221120,2.222909,3.857105,0.055292,3.801812,3.912397,4.006062,0.011627,3.994435,4.017689,4.554623,0.001861,4.552761,4.556484,13.036581,0.015793,13.020788,13.052374,0.020805,0.000236,0.020569,0.021041,0.520341,0.003511,0.516830,0.523852,28.421864,0.034215,28.387649,28.456079,0.010240,0.000081,0.010159,0.010320,5.621640,0.021850,5.599790,5.643490
8,3.434103,0.001439,3.432665,3.435542,2.260592,0.001016,2.259576,2.261608,4.560810,0.002624,4.558186,4.563434,5.866784,0.007659,5.859125,5.874443,0.013490,0.000155,0.013335,0.013646,0.129882,0.000813,0.129069,0.130696,6.232242,0.008012,6.224230,6.240255,2.221997,0.000890,2.221107,2.222887,3.783625,0.033759,3.749867,3.817384,4.006084,0.011621,3.994463,4.017705,4.562622,0.002629,4.559994,4.565251,13.035727,0.017343,13.018384,13.053070,0.050243,0.000429,0.049814,0.050672,0.520318,0.003520,0.516798,0.523838,28.439085,0.042477,28.396608,28.481562,0.021727,0.000131,0.021596,0.021858,5.663564,0.017173,5.646390,5.680737
9,3.441515,0.001201,3.440314,3.442716,2.260528,0.001024,2.259505,2.261552,4.575335,0.002036,4.573299,4.577371,5.866501,0.008185,5.858315,5.874686,0.029157,0.000257,0.028900,0.029414,0.129876,0.000816,0.129059,0.130692,6.216319,0.008465,6.207854,6.224784,2.221933,0.000888,2.221044,2.222821,3.723463,0.023026,3.700437,3.746490,4.006065,0.011628,3.994437,4.017693,4.579457,0.002034,4.577423,4.581491,13.034969,0.018739,13.016230,13.053708,0.107754,0.000718,0.107036,0.108472,0.520300,0.003528,0.516772,0.523828,28.465529,0.038588,28.426942,28.504117,0.040765,0.000192,0.040573,0.040956,5.697629,0.014500,5.683130,5.712129
10,3.450370,0.001238,3.449132,3.451608,2.260528,0.001023,2.259504,2.261551,4.592716,0.002145,4.590572,4.594861,5.867737,0.005883,5.861854,5.873621,0.056754,0.000375,0.056379,0.057129,0.129908,0.000806,0.129102,0.130714,6.190119,0.005852,6.184267,6.195970,2.221931,0.000888,2.221043,2.222819,3.693732,0.017451,3.676280,3.711183,4.006103,0.011626,3.994477,4.017729,4.601067,0.002160,4.598907,4.603228,13.037679,0.013845,13.023834,13.051524,0.208993,0.001142,0.207851,0.210135,0.520379,0.003496,0.516883,0.523876,28.482704,0.032669,28.450035,28.515373,0.068656,0.000266,0.068390,0.068923,5.741419,0.013477,5.727942,5.754896
11,3.462662,0.001083,3.461579,3.463744,2.260525,0.001023,2.259502,2.261549,4.616805,0.001807,4.614998,4.618611,5.867059,0.007150,5.859909,5.874208,0.100312,0.000543,0.099769,0.100855,0.129889,0.000811,0.129078,0.130700,6.145784,0.007181,6.138603,6.152965,2.221929,0.000888,2.221041,2.222817,3.706315,0.013787,3.692528,3.720102,4.006101,0.011624,3.994477,4.017724,4.631742,0.001839,4.629903,4.633581,13.036176,0.016526,13.019650,13.052702,0.371314,0.001703,0.369611,0.373017,0.520335,0.003513,0.516822,0.523848,28.466221,0.035743,28.430478,28.501964,0.105340,0.000348,0.104992,0.105688,5.789627,0.012884,5.776743,5.802511
12,3.476793,0.001608,3.475185,3.478400,2.260528,0.001023,2.259505,2.261551,4.644461,0.002882,4.641578,4.647343,5.866901,0.007431,5.859470,5.874332,0.164847,0.000760,0.164087,0.165607,0.129886,0.000812,0.129073,0.130698,6.081079,0.007384,6.073695,6.088463,2.221932,0.000888,2.221044,2.222820,3.710997,0.011730,3.699267,3.722727,4.006089,0.011628,3.994461,4.017717,4.669768,0.002871,4.666896,4.672639,13.035847,0.017126,13.018721,13.052972,0.611492,0.002442,0.609050,0.613934,0.520325,0.003517,0.516808,0.523843,28.393314,0.031093,28.362221,28.424408,0.148834,0.000431,0.148403,0.149265,5.840613,0.012627,5.827986,5.853240
